,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1995,14,15,15.3,15.5,15.3,13,11.9
1996,14.2,15.1,15.1,15.3,15.3,13.1,11.9
1997,14.3,15.1,15.1,15.4,15.3,12.9,11.9
1998,14.2,15,15.2,15.4,15.3,13,11.8
1999,14.3,15,15.1,15.5,15.3,12.9,11.9
2000,14.3,15,15.2,15.4,15.3,12.9,11.9
2001,14.3,15,15.2,15.4,15.4,12.9,11.8
2002,14.5,15,15.2,15.3,15.3,12.8,11.9
2003,14.5,15,15.2,15.2,15.2,12.9,12
2004,14.4,14.9,15.2,15.1,15.3,12.9,12.2
2005,14.3,14.9,15.1,15.2,15.4,12.9,12.1
2006,14.3,14.8,15.1,15.2,15.3,13,12.3
2007,14.4,14.9,15,15.2,15.3,13,12.2
2008,14.5,14.9,15,15.1,15.2,12.9,12.3
2009,14.4,15.1,15.1,15.2,15.1,12.8,12.3
2010,14.3,15,15,15.3,15.1,13,12.4
2011,14.4,15,15,15.3,15.1,13,12.4
2012,14.4,14.8,15,15.3,15.2,12.9,12.3
2013,14.5,14.9,15,15.3,15.1,12.9,12.4
2014,14.4,15,15,15.3,15,12.9,12.3
2015,14.4,15,15.1,15.3,15,12.8,12.4
2016,14.4,14.9,15,15.4,15.1,12.8,12.3
2017,14.4,14.8,15.1,15.3,15.2,12.8,12.4
2018,14.5,14.9,15,15.4,15.2,12.8,12.3
